[2026-05-13 19:28:38] Mode: EAGLE (Receiver - Benchmark)
[2026-05-13 19:28:38] [LR2021] Init OK
[2026-05-13 19:28:38] [EAGLE] Listening for packets...
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] ========= EAGLE BENCHMARK RESULTS =========
[2026-05-13 19:28:49]   Packets expected: 200
[2026-05-13 19:28:49]   Packets received: 200
[2026-05-13 19:28:49]   RX errors:        0
[2026-05-13 19:28:49]   Packet loss:      0.0 %
[2026-05-13 19:28:49]   Total RX bytes:   102200
[2026-05-13 19:28:49]   Elapsed time:     0.446 s
[2026-05-13 19:28:49]   Throughput:       1831.85 kbps
[2026-05-13 19:28:49] ==========================================
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] --- Per-packet log ---
[2026-05-13 19:28:49]   SEQ	RX ms	RSSI	Length
[2026-05-13 19:28:49]   0	0	0.0	0
[2026-05-13 19:28:49]   56023	121946	-0.5	0
[2026-05-13 19:28:49]   20560	122315	-0.5	6
[2026-05-13 19:28:49]   0	125174	-0.5	0
[2026-05-13 19:28:49]   0	126958	0.0	0
[2026-05-13 19:28:49]   0	127340	0.0	6
[2026-05-13 19:28:49]   0	130079	-0.5	0
[2026-05-13 19:28:49]   17325	131887	-0.5	0
[2026-05-13 19:28:49]   0	132269	-0.5	6
[2026-05-13 19:28:49]   0	134981	-0.5	0
[2026-05-13 19:28:49]   17325	136787	0.0	0
[2026-05-13 19:28:49]   0	137173	-0.5	6
[2026-05-13 19:28:49]   0	139886	0.0	0
[2026-05-13 19:28:49]   0	141670	-0.5	0
[2026-05-13 19:28:49]   0	142046	-0.5	6
[2026-05-13 19:28:49]   0	144788	-0.5	0
[2026-05-13 19:28:49]   17325	146591	-0.5	0
[2026-05-13 19:28:49]   0	146976	-0.5	6
[2026-05-13 19:28:49]   0	149687	-0.5	0
[2026-05-13 19:28:49]   0	151472	-0.5	0
[2026-05-13 19:28:49]   0	151854	0.0	6
[2026-05-13 19:28:49]   0	154589	-0.5	0
[2026-05-13 19:28:49]   17325	156393	-0.5	0
[2026-05-13 19:28:49]   35209	156761	0.0	6
[2026-05-13 19:28:49]   0	159491	-0.5	0
[2026-05-13 19:28:49]   17325	161295	0.0	0
[2026-05-13 19:28:49]   35209	161669	-0.5	6
[2026-05-13 19:28:49]   0	164397	0.0	0
[2026-05-13 19:28:49]   0	166180	-0.5	0
[2026-05-13 19:28:49]   0	166563	0.0	6
[2026-05-13 19:28:49]   0	169298	-0.5	0
[2026-05-13 19:28:49]   17325	171101	0.0	0
[2026-05-13 19:28:49]   0	171487	-0.5	6
[2026-05-13 19:28:49]   0	174200	-0.5	0
[2026-05-13 19:28:49]   0	175984	0.0	0
[2026-05-13 19:28:49]   0	176366	0.0	6
[2026-05-13 19:28:49]   0	179101	0.0	0
[2026-05-13 19:28:49]   0	180890	0.0	0
[2026-05-13 19:28:49]   0	181271	0.0	6
[2026-05-13 19:28:49]   0	184007	0.0	0
